10007798,The University of Manchester,88,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,53.10,NULL,100,100,0,0,0,0
10004180,Manchester Metropolitan University,89,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,23.00,NULL,40,0,12.5,87.5,0,0
10004351,Middlesex University,91,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,64.55,NULL,70,0,25,75,0,0
10007799,University of Newcastle upon Tyne,92,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,49.80,NULL,100,50,50,0,0,0
10001282,University of Northumbria at Newcastle,95,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,64.41,NULL,90,0,62.5,37.5,0,0
10004797,Nottingham Trent University,97,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,15.40,NULL,70,0,25,75,0,0
10007154,"University of Nottingham, The",98,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,46.20,NULL,100,100,0,0,0,0
10007773,The Open University,99,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,44.70,NULL,55,25,75,0,0,0
10007774,University of Oxford,100,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,73.65,NULL,100,100,0,0,0,0
10004930,Oxford Brookes University,101,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,17.30,NULL,65,0,0,75,25,0
10007801,University of Plymouth,102,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,14.62,NULL,100,0,75,25,0,0
10007155,University of Portsmouth,103,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,29.80,NULL,45,0,12.5,87.5,0,0
10007775,Queen Mary University of London,105,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,68.80,NULL,100,50,50,0,0,0
10007802,The University of Reading,108,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,10.40,NULL,100,0,87.5,12.5,0,0
10005500,Robert Gordon University,109,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,10.00,NULL,30,0,25,75,0,0
10005553,Royal Holloway and Bedford New College,118,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,38.10,NULL,100,62.5,37.5,0,0,0
10007156,"University of Salford, The",121,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,16.00,NULL,60,0,25,75,0,0
10007157,The University of Sheffield,123,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,56.75,NULL,100,87.5,12.5,0,0,0
10005790,Sheffield Hallam University,124,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,25.60,NULL,30,0,12.5,75,12.5,0
10007793,University of South Wales / Prifysgol De Cymru,126,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,13.70,NULL,35,0,0,75,25,0
10007158,University of Southampton,127,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,47.26,NULL,100,100,0,0,0,0
10007803,University of St Andrews,129,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,30.10,NULL,100,12.5,87.5,0,0,0
10007804,University of Stirling,134,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,18.00,NULL,100,0,25,75,0,0
10007805,University of Strathclyde,136,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,31.80,NULL,100,0,50,50,0,0
10007159,University of Sunderland,138,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,6.70,NULL,25,0,0,100,0,0
10007160,The University of Surrey,139,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,22.50,NULL,100,0,100,0,0,0
10007806,University of Sussex,140,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,26.90,NULL,100,12.5,87.5,0,0,0
10007855,Swansea University / Prifysgol Abertawe,141,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,32.90,NULL,100,12.5,62.5,25,0,0
10007807,University of Ulster,145,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,69.60,NULL,100,25,75,0,0,0
10007784,University College London,146,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,100.20,NULL,100,87.5,12.5,0,0,0
10007163,The University of Warwick,149,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,41.60,NULL,100,62.5,37.5,0,0,0
10006566,The University of West London,150,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,9.80,NULL,70,0,0,50,50,0
10007164,"University of the West of England, Bristol",151,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,28.60,NULL,35,0,12.5,75,12.5,0
10007800,University of the West of Scotland,152,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,25.00,NULL,55,0,37.5,62.5,0,0
10007165,The University of Westminster,153,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,21.40,NULL,40,0,25,75,0,0
10007166,University of Wolverhampton,155,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,11.00,NULL,35,0,0,50,50,0
10007167,University of York,157,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,44.40,NULL,100,87.5,12.5,0,0,0
